Well_ID,Point_ID,x_long,y_lat,County,MeasurementMonth,MeasurementDay,MeasurementYear,MeasurementDate,WaterElevation,Max_NS,SaturatedThickness
235803,420,-102.700001,36.388889,Dallam,1,9,2012,1/9/12,4093.5,3980,113.5
235803,420,-102.700001,36.388889,Dallam,1,3,2013,1/3/13,4091.9,3980,111.90000000000009
235803,420,-102.700001,36.388889,Dallam,1,3,2014,1/3/14,4089.59,3980,109.59000000000015
235803,420,-102.700001,36.388889,Dallam,1,20,2015,1/20/15,4090.26,3980,110.26000000000022
235803,420,-102.700001,36.388889,Dallam,1,20,2016,1/20/16,4092.5,3980,112.5
236301,34,-102.520555,36.491945,Dallam,12,6,1995,12/6/95,4023.05,3870,153.05000000000018
236301,34,-102.520555,36.491945,Dallam,12,11,1996,12/11/96,4023.8,3870,153.80000000000018
236301,34,-102.520555,36.491945,Dallam,12,10,1997,12/10/97,4023.08,3870,153.07999999999993
236301,34,-102.520555,36.491945,Dallam,12,9,1998,12/9/98,4022.08,3870,152.07999999999993
236301,34,-102.520555,36.491945,Dallam,12,7,2000,12/7/00,4023.15,3870,153.1500000000001
236301,34,-102.520555,36.491945,Dallam,12,13,2001,12/13/01,4022.41,3870,152.40999999999985
236402,223,-102.592778,36.428889,Dallam,12,6,1995,12/6/95,4080,3830,250.0
236402,223,-102.592778,36.428889,Dallam,12,11,1996,12/11/96,4079.65,3830,249.6500000000001
236402,223,-102.592778,36.428889,Dallam,12,10,1997,12/10/97,4079.48,3830,249.48000000000002
236402,223,-102.592778,36.428889,Dallam,12,9,1998,12/9/98,4078.74,3830,248.73999999999978
236402,223,-102.592778,36.428889,Dallam,12,9,1999,12/9/99,4078.53,3830,248.5300000000002
236402,223,-102.592778,36.428889,Dallam,12,7,2000,12/7/00,4078.65,3830,248.6500000000001
236402,223,-102.592778,36.428889,Dallam,12,13,2001,12/13/01,4077.4,3830,247.4000000000001
236402,223,-102.592778,36.428889,Dallam,12,14,2002,12/14/02,4077.35,3830,247.3499999999999
236402,223,-102.592778,36.428889,Dallam,12,11,2003,12/11/03,4076.9,3830,246.9000000000001
236402,223,-102.592778,36.428889,Dallam,12,13,2004,12/13/04,4076.7,3830,246.69999999999982
236402,223,-102.592778,36.428889,Dallam,11,4,2005,11/4/05,4076.02,3830,246.01999999999998
236402,223,-102.592778,36.428889,Dallam,12,2,2006,12/2/06,4075.35,3830,245.3499999999999
